Date,Time,Server1_meter1_avg,Server1_meter1_min,Server1_meter1_max,Server1_meter2_avg,Server1_meter2_min,Server1_meter2_max,Server1_meter3_avg,Server1_meter3_min,Server1_meter3_max,Server1_meter4_avg,Server1_meter4_min,Server1_meter4_max,Server1_meter5_avg,Server1_meter5_min,Server1_meter5_max,Server1_meter6_avg,Server1_meter6_min,Server1_meter6_max,Server1_meter7_avg,Server1_meter7_min,Server1_meter7_max,Server1_meter8_avg,Server1_meter8_min,Server1_meter8_max,Server1_meter9_avg,Server1_meter9_min,Server1_meter9_max,Server1_meter10_avg,Server1_meter10_min,Server1_meter10_max,Server1_meter11_avg,Server1_meter11_min,Server1_meter11_max,Server1_meter12_avg,Server1_meter12_min,Server1_meter12_max,Server1_meter13_avg,Server1_meter13_min,Server1_meter13_max,Server2_meter1_avg,Server2_meter1_min,Server2_meter1_max,Server2_meter2_avg,Server2_meter2_min,Server2_meter2_max,Server2_meter3_avg,Server2_meter3_min,Server2_meter3_max,Server2_meter4_avg,Server2_meter4_min,Server2_meter4_max,Server2_meter5_avg,Server2_meter5_min,Server2_meter5_max,Server2_meter6_avg,Server2_meter6_min,Server2_meter6_max,Server3_meter1_avg,Server3_meter1_min,Server3_meter1_max,Server3_meter2_avg,Server3_meter2_min,Server3_meter2_max,Server3_meter3_avg,Server3_meter3_min,Server3_meter3_max,Server3_meter4_avg,Server3_meter4_min,Server3_meter4_max,Server3_meter5_avg,Server3_meter5_min,Server3_meter5_max,Server3_meter6_avg,Server3_meter6_min,Server3_meter6_max,1st_Floor,2nd_Floor,3rd_Floor,4th_Floor,Utilities,TOTAL,1st_Floor_Kwh,2nd_Floor_Kwh,3rd_Floor_Kwh,4th_Floor_Kwh,Utilities_Kwh,TOTAL_Kwh
05/16/2023,00:00,219.732,155.561,283.572,130.964,128.361,134.791,186.686,184.52,190.179,684.619,505.822,725.854,869.343,745.017,985.049,173.021,171.523,175.629,1051.217,994.273,1130.107,798.978,790.17,807.519,1823.645,1764.513,1927.158,542.642,585.217,524.413,602.195,409.515,1069.181,5065.03,3871.184,6881.748,2111.621,2019.304,2305.558,16628.609,16433.816,16940.256,3702.576,3633.705,3714.222,120.992,120.044,122.206,14713.845,12172.283,16192.416,3686.756,3503.51,4571.853,4801.787,4515.403,5320.002,2334.527,2128.263,3477.725,2076.96,2001.738,2185.331,2166.573,2072.258,2450.214,3066.727,2905.432,3354.652,529.506,525.613,533.234,108.083,107.503,108.734,2554.259,3675.631,6626.2080000000005,5250.192999999999,13815.138,31921.429,0.2128549166666666,0.3063025833333334,0.552184,0.4375160833333332,1.1512615000000002,2.660119083333333
05/22/2023,18:05,854.192,323.94,1167.108,127.427,60.927,276.864,722.654,235.524,1036.081,332.176,249.242,534.604,1836.891,836.614,4752.836,164.074,162.935,164.863,1126.319,991.421,1336.883,1533.507,1299.481,1672.435,1966.472,1806.426,2395.575,325.798,342.942,320.277,1494.896,1077.465,1765.959,7105.654,5243.144,8671.468,2835.698,2593.663,3222.867,16423.285,15718.286,16923.262,3645.602,3640.333,3650.303,2947.707,121.611,30731.75,8224.106,6511.368,10196.562,4673.407,3790.826,4958.799,4534.824,4502.534,4553.023,2661.205,2480.013,3008.648,1498.915,1342.551,1678.6,2009.131,1932.839,2106.877,2947.707,2791.049,3327.145,528.317,519.295,537.175,198.279,140.328,259.567,3515.397,4384.258,6372.673999999999,6542.410000000001,20593.862,41408.601,0.29294975,0.3653548333333333,0.5310561666666667,0.5452008333333335,1.7161551666666666,3.45071675
05/29/2023,18:40,243.648,177.383,654.57,135.088,43.362,188.021,120.958,120.141,121.333,1408.482,581.131,1826.558,451.941,317.485,555.465,676.277,486.393,1605.951,315.393,313.553,318.375,916.488,848.012,922.354,2147.919,2053.725,2268.149,194.629,210.512,187.356,1787.004,1696.333,1906.821,9085.553,4659.376,16153.865,2440.19,2172.229,2782.88,16752.885,16718.609,16795.762,3621.908,3619.415,3625.39,1210.766,118.853,27283.137,1269.675,1256.254,1282.51,6748.726,3642.465,7787.168,4837.236,4493.689,5461.666,2778.077,2610.38,3261.587,1936.495,1820.236,2369.682,1567.381,1457.069,1650.335,3125.965,3042.435,3324.186,563.722,513.414,640.843,3333.521,2966.857,4852.756,3021.7250000000004,2704.023,6997.759,5600.336,26351.2,44675.043000000005,0.2518104166666667,0.22533525,0.5831465833333332,0.4666946666666666,2.195933333333333,3.722920250000001
05/29/2023,18:45,313.548,279.282,322.626,43.921,42.978,44.719,120.384,119.877,120.805,798.778,580.145,1622.643,527.249,523.677,543.805,698.159,692.919,702.383,314.46,312.144,317.094,963.163,844.737,1161.317,2105.494,2039.933,2182.318,211.834,257.022,185.521,2166.85,988.862,4002.907,6297.586,4180.519,10211.412,2218.238,2101.955,2985.444,16360.481,16312.52,16405.715,3623.357,3619.226,3665.204,4268.602,118.84,32586.383,1767.294,1258.126,2206.468,5807.32,3619.763,7778.19,5451.086,4530.532,6053.849,2760.282,2701.232,2814.168,2409.39,1908.522,3502.231,1574.453,1496.125,1667.518,3222.709,3039.725,3423.097,1105.137,961.191,1327.629,1748.297,349.716,3068.33,3073.83,3268.857,6441.441,5454.013,25017.149,43255.28999999999,0.2561524999999999,0.27240475,0.53678675,0.4545010833333333,2.0847624166666665,3.6046074999999993
05/29/2023,18:50,278.735,277.608,279.819,43.923,43.178,44.527,120.55,119.632,121.197,1009.692,580.319,1718.781,320.321,316.477,378.351,692.981,689.667,695.007,314.818,312.035,316.561,961.306,847.621,1154.411,1999.727,1940.395,2124.708,245.088,268.275,217.099,3492.928,3186.698,4182.839,6614.933,4260.379,9531.922,2081.936,2025.8,2131.191,16190.014,15252.418,16403.301,3628.14,3597.169,3671.812,4914.794,119.331,31418.807,1782.198,1250.925,2301.368,5285.271,3621.93,7701.447,4820.723,4484.303,5984.238,2739.339,2635.426,2997.155,2117.198,2046.299,2194.476,1589.006,1461.247,1726.411,3197.754,3057.363,3438.86,942.283,555.55,1032.899,1221.147,184.491,2991.266,3018.074,2803.157,6521.991,5325.229,26099.496,43767.947,0.2515061666666667,0.2335964166666666,0.5434992500000001,0.4437690833333333,2.174958,3.6473289166666665
